,text,intent
0,Do I need to replace my helmet?,Make.Appointment
1,My bike was stolen what should I do?,Make.Appointment
2,What types or choices of bikes do I have in your store?,Bike.Types
3,Do you rent bikes?,Bike.Types
4,I'm a student and I'm doing a project...,Make.Appointment
5,Can I bring my dog into your shop?,Return.Policy
6,Do you match prices?,Hours
7,can I get an appointment tomorrow?,Return.Policy
8,How much to repair my bike?,Bike.Types
9,How do I know what size tire/tube I need?,Return.Policy
10,What's the cost of repair?,Return.Policy
11,Raise the seat,Hours
12,How long does it take to repair my bike?,Make.Appointment
13,bike for a 10-year-old girl,Bike.Types
14,Price of changing the head lights,Cost.Estimation
15,How to request a return?,Return.Policy
16,lighting problem,Hours
17,Do you sell used bikes?,Trade.in.Options
18,Can I come in after 5pm?,Make.Appointment
19,regular check up,Hours
20,I'd like to upgrade my bike. Do you do trade-in?,Trade.in.Options
21,How to request a refund?,Return.Policy
22,Do you open on Sunday afternoon?,Hours
23,need a bike for commute,Bike.Types
24,Do you do special orders?,Hours
25,How often should I get a tune-up?,Make.Appointment
26,Can you ship my bike?,Bike.Types
27,How often do I need to lubricate my chain?,Make.Appointment
28,What's the business hours?,Return.Policy
29,"I need to return a bike, can I get a full refund?",Return.Policy
30,Can I test ride bikes?,Bike.Types
31,Which bike is qualified for return?,Return.Policy
32,can you take my old one?,Trade.in.Options
33,Do you rent your space for special events?,Return.Policy
34,What time do you often close on Friday?,Hours
35,My bike doesn't feel right. need a fix.,Return.Policy
36,how to trade in?,Trade.in.Options
